obsTime,DSTKyoto.dst,DSTKyoto.ist,DSTKyoto.est,DSTKyoto_MagCNN.dst,DSTKyoto_MagCNN.ist,DSTKyoto_MagCNN.est
2024-01-01 00:00:00,4,3.13766,-0.137657,-5.09978,0.55665,-5.65643
2024-01-01 01:00:00,5,3.63148,1.36852,-6.11178,0.241999,-6.35378
2024-01-01 02:00:00,7,4.13863,2.86137,-5.27943,0.500433,-5.77986
2024-01-01 03:00:00,8,3.46715,1.53285,-5.50062,0.424583,-5.9252
2024-01-01 04:00:00,7,2.86944,0.130562,-3.66778,0.965593,-4.63337
2024-01-01 05:00:00,7,3.18459,0.815412,-0.860046,1.75817,-2.61822
2024-01-01 06:00:00,9,4.0491,2.9509,-0.0900184,1.91731,-2.00733
2024-01-01 07:00:00,8,3.39104,1.60896,0.0896437,1.9244,-1.83476
2024-01-01 08:00:00,6,3.10105,0.898948,1.28572,2.24666,-0.960941
2024-01-01 09:00:00,7,2.81801,0.181987,0.177238,1.87674,-1.69951
2024-01-01 10:00:00,4,2.24741,-1.24741,0.384959,1.93369,-1.54873
2024-01-01 11:00:00,-2,1.40688,-3.40688,-8.2272,-0.616775,-7.61042
2024-01-01 12:00:00,-2,2.36504,-1.36504,-10.0562,-1.00202,-9.05418
2024-01-01 13:00:00,1,2.63611,-0.636114,-5.833,0.336711,-6.16971
2024-01-01 14:00:00,8,4.087,2.913,-1.71701,1.5189,-3.23591
2024-01-01 15:00:00,4,2.21615,-1.21615,-6.75743,-0.0435959,-6.71383
2024-01-01 16:00:00,-3,-0.659907,-8.34009,-14.1207,-2.14465,-11.9761
2024-01-01 17:00:00,-12,-3.98461,-17.0154,-20.3485,-3.81425,-16.5342
2024-01-01 18:00:00,-14,-3.37214,-16.6279,-22.0346,-4.11847,-17.9161
2024-01-01 19:00:00,-9,-0.882715,-11.1173,-16.6803,-2.41122,-14.2691
2024-01-01 20:00:00,-5,-0.352665,-9.64734,-13.3131,-1.44048,-11.8726
2024-01-01 21:00:00,-1,0.499975,-7.49997,-18.5636,-3.03373,-15.5299
2024-01-01 22:00:00,-3,-0.14641,-8.85359,-27.4107,-5.54541,-21.8653
2024-01-01 23:00:00,-1,1.34651,-5.34651,-25.5473,-4.78301,-20.7643
2024-01-02 00:00:00,-1,1.8485,-3.8485,-23.8543,-4.21705,-19.6373
2024-01-02 01:00:00,-2,1.48241,-4.48241,-20.9968,-3.35174,-17.6451
2024-01-02 02:00:00,-10,-0.595356,-9.40464,-32.7944,-6.8488,-25.9456
